Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность в течении
Комплексное,13 микроэлементов в волосах,Волосы,"Лабораторный тест, направленный на определение содержания данных микроэлементов в образце волос: Se; Zn; Co; Mn; Mg; Cu; Fe; Ca; Hg; As; Pb; Cd; Al. Определение концентрации эссенциальных и токсических микроэлементов, используемое для оценки нутриентного статуса и диагностики острой и хронической интоксикации.",3490,5
Комплексное,13 микроэлементов в крови,Кровь,"Определение концентрации эссенциальных и токсических микроэлементов, используемое для оценки нутриентного статуса и диагностики острой и хронической интоксикации. (Se; Zn; Co; Mn; Mg; Cu; Fe; Ca; Hg; As; Pb; Cd; Al)",6590,5
Комплексное,13 микроэлементов в ногтях,Ногти,"Лабораторный тест, направленный на определение содержания данных микроэлементов в образце ногтей: Se; Zn; Co; Mn; Mg; Cu; Fe; Ca; Hg; As; Pb; Cd; Al. Определение концентрации эссенциальных и токсических микроэлементов, используемое для оценки нутриентного статуса и диагностики острой и хронической интоксикации.",4890,5
Комплексное,6 микроэлементов в моче,Моча,"Определение концентрации основных токсических микроэлементов и тяжелых металлов (ртути, кадмия, мышьяка, лития, свинца и алюминия) в моче, которое используется для диагностики острого и хронического отравления этими металлами.",4490,5
Комплексное,TORCH-инфекции: базовый,Сыворотка,"Определение в крови уровня антител класса  IgG к токсоплазме (Toxoplasma gondii IgG), вирусу простого герпеса (Herpes simplex virus I IgG; Herpes simplex virus II IgG), краснухи (Rubella virus IgG), цитомегаловирусу (Cytomegalovirus IgG). 

Позволяет выявить факт инфицирования, оценить динамику воспалительного процесса и давность заболевания.",2490,1
Комплексное,TORCH-инфекции: расширенный,Сыворотка,"Определение в крови уровня антител класса IgM и IgG к токсоплазме (Toxoplasma gondii IgG; Toxoplasma gondii IgM), вирусу простого герпеса (Herpes simplex virus I IgG; Herpes simplex virus I IgM; Herpes simplex virus II IgG; Herpes simplex virus II IgM), краснухи (Rubella virus IgG; Rubella virus IgM), цитомегаловирусу (Cytomegalovirus IgG; Cytomegalovirus IgM). 

Позволяет выявить факт инфицирования, оценить динамику воспалительного процесса и давность заболевания.",4490,2
Комплексное,Антифосфолипидный синдром,Сыворотка,Диагностика антифосфолипидного синдрома позволяет определить в крови пациента антинуклеарный фактор и антитела к кардиолипину. Данное исследование включает в себя: АТ к кардиолипину (IgA+IgM+IgG); Волчаночной антикоагулянт; АТ к β-2 Гликопротеину I (IgG+IgA+IgM),2990,7
Комплексное,Базовая метаболическая панель,Сыворотка,"Предлагаемый комплекс объединяет группу биохимических показателей, изменение которых свидетельствует о нарушении метаболизма и может быть показателем развития различных патологий: повышенный уровень креатинина и мочевины в крови может служить признаком почечной недостаточности; повышение уровня глюкозы говорить о нарушении углеводного обмена, а кальций, калий, натрий, хлор - о состоянии почек, функции паращитовидной железы, обмене костной ткани, нарушении функции щитовидной железы и т.д.",890,1
Комплексное,"Биохимическое исследование крови, базовое",Сыворотка,"Комплексное исследование основных биохимических показателей крови, позволяющее оценить особенности кроветворения, функцию печени, поджелудочной железы и почек, белковый, липидный и углеводный обмен, обмен нуклеиновых кислот, а также баланс железа и кальция в организме. В исследование входят такие показатели, как: АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Холестерин общий (ХС); Креатинин; Мочевина; Общий белок; Глюкоза.",1390,1
Комплексное,"Биохимическое исследование крови, расширенное",Сыворотка,"Комплексное исследование основных биохимических показателей крови, позволяющее оценить особенности кроветворения, функцию печени, поджелудочной железы и почек, белковый, липидный и углеводный обмен, обмен нуклеиновых кислот, а также баланс железа и кальция в организме.В исследования входят такие показатели, как: АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Лактатдегидрогеназа (ЛДГ); Креатинкиназа (КК, Креатинфосфокиназа); Билирубин общий; Билирубин прямой; Креатинин; Мочевина; Мочевая кислота; Общий белок; Глюкоза; Железо; Липидный обмен (триглицериды; холестерин общий; ХС ЛПВП; ХС ЛПНП; Индекс атерогенности).",2990,1
Комплексное,Будущей маме: подготовка к беременности,"Сыворотка, Кровь, Моча","Комплексное обследование организма женщины, планирующей беременность, включающее: клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; Группа крови + Резус-фактор (Rh); Глюкоза; Общий белок; Железо; Госпитальный комплекс: ВИЧ 1-2 АГ/АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА); TORCH-инфекции: базовый; Herpes simplex virus I IgG; Herpes simplex virus II IgG; Cytomegalovirus IgG; Rubella virus IgG; Toxoplasma gondii IgG.",6590,3
Комплексное,Будущему папе,"Сыворотка, Кровь, Моча","Комплексное обследование организма мужчины, включающее: клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; Глюкоза; Группа крови + Резус-фактор (Rh); Госпитальный комплекс: ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА)",5390,1
Комплексное,Воспаление: скрининг,Сыворотка,"Выявление таких маркеров воспаления, как С-реактивный белок; Рематоидный фактор; Мочевая кислота; АСЛ-О (Антистрептолизин-О) в предлагаемом комплексе, позволит диагностировать и дифференцировать воспалительный процесс, правильно определить направления назначаемой терапии.",1590,1
Комплексное,Гастропанель,Сыворотка,"Комплексный анализ крови, включающий специфические белки пищеварительного тракта (гастрин-17, пепсиноген I и II) и IgG-антитела к H.pylori, который используется для неинвазивной оценки состояния слизистой оболочки желудка и скрининга атрофического гастрита.",7890,13
Комплексное,Герпетическая инфекция: скрининг,Сыворотка,"Инфекция, вызванная вирусами герпеса - пожизненное инфекционное заболевание человека, характеризующееся скрытым течением с периодическими обострениями при снижении защитных сил организма. Проявляется инфекция в большинстве случаев поражениями кожи и слизистых оболочек различной локализации. Исследование включает в себя: ПЦР Herpes simplex virus I; Human herpes virus VI; Epstein Barr virus; Cytomegalovirus; Herpes simplex virus I IgG; Herpes simplex virus II IgG; Human herpes virus VI IgG; Cytomegalovirus IgG; Epstein Barr virus (АТ IgG к капсидному АГ).",4390,3
Комплексное,Госпитализация в стационары терапевтического профиля,Сыворотка,"Комплексное исследование, включающее в себя ряд анализов, результаты которых необходимы при госпитализации в стационар терапевтического профиля. В комплекс входят:  клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи +АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Креатинин; Мочевина; Общий белок; Глюкоза; Холестерин общий+ Госпитальный комплекс - (ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА)).",3590,3
Комплексное,Госпитальный комплекс (ИФА),Сыворотка,"Комплексное обследование, необходимое для госпитализации в стационар (исследования проводятся методом ИФА): 
- ВИЧ (антитела и антигены) 
- Антитела к бледной трепонеме (Treponema pallidum), суммарные 
- Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg) 
- Антитела к вирусу гепатита С, суммарные (Anti-HCV)",1390,1
Комплексное,Госпитальный комплекс (ИХЛА),Сыворотка,"Комплексное обследование, необходимое для госпитализации в стационар (исследования проводятся методом ИХЛА):
- ВИЧ (антитела и антигены) 
- Антитела к бледной трепонеме (Treponema pallidum), суммарные 
- Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg) 
- Антитела к вирусу гепатита С, суммарные (Anti-HCV)",2290,2
Комплексное,Диагностика анемий,Сыворотка,"Анемией принято считать патологическое состояние, при котором снижается количество эритроцитов и/или гемоглобина в крови. Предлагаемый комплекс позволяет диагностировать заболевание, определить степень его тяжести, контролировать эффективность терапии. В комплекс входят: Железо; Латентная железосвязывающая способность (ЛЖСС); Трансферрин; Ферритин; В-12 (Цианокобаламин); Фолиевая кислота.",2990,1
Комплексное,Диагностика остеопороза: базовый скрининг,"Сыворотка, Моча","Остеопороз – заболевание, в результате развития которого снижается плотность и нарушается структура костной ткани. С помощью включенных в комплексное исследование тестов, отражающих состояние костной ткани, врач сможет представить проблему пациента, выработать алгоритм лечения. В комплексное исследование включены: Остеокальцин; Щелочная фосфатаза (ЩФ); Фосфор; Кальций ионизированный; Витамин D (25 гидроксикальциферол); Деоксипиридинолин (ДПИД); B-Cross laps (С-концевые телопептиды коллагена I типа - диагностический маркер процесса остеопороза).",7990,9
Комплексное,Диагностика остеопороза: расширенный скрининг,"Сыворотка, Моча","Остеопороз – заболевание, в результате развития которого снижается плотность и нарушается структура костной ткани. С помощью включенных в комплексное исследование тестов, отражающих состояние костной ткани, врач сможет представить проблему пациента, выработать алгоритм лечения. В комплексное исследование включены: Остеокальцин; Кальцитонин; Щелочная фосфатаза (ЩФ); Фосфор; Кальций ионизированный; Витамин D (25 гидроксикальциферол); Деоксипиридинолин (ДПИД); B-Cross laps (С-концевые телопептиды коллагена I типа - диагностический маркер процесса остеопороза); Паратгормон (ПТГ); P1NP (N-терминальный пропептид проколлагена 1 типа).",11990,9
Комплексное,Ежегодное профилактическое обследование,Сыворотка,"Комплексное ежегодное профилактическое обследование поможет в раннем выявлении патологий: щитовидной железы, органов и систем, инфицированности гепатитами, простейшими и гельминтами. Комплекс включает в себя: АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Билирубин общий; Мочевина; Креатинин; Глюкоза; Железо; Латентная железосвязывающая способность (ЛЖСС); Холестерин; Госпитальный комплекс:скрининг.ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг); клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; Маркеры щитовидной железы: (Т4 (тироксин) свободный; Т3 (трийодтиронин) свободный; ТТГ (Тиреотропный гормон) ; АТ к тиреоидной пероксидазе (АТ к ТПО); Анализ кала на простейшие и яйца гельминтов (микроскопия).",4790,5
Комплексное,Ежегодное профилактическое обследование для ребенка,Сыворотка,"Комплекс включает в себя исследования планового профилактического обследования ребенка, которые помогут выявить наиболее частые проблемы. В комплекс входит: клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Билирубин общий; Глюкоза; Железо; Мочевина; Креатинин; IgE (иммуноглобулин Е); Анализ кала на простейшие и яйца гельминтов (микроскопия); Соскоб на энтеробиоз.",3490,1
Комплексное,Животные дома: аллергологический скрининг,Сыворотка,"Комплексный скрининг аллергенов животного происхождения поможет выявить источник опасности, убрать или, по возможности, ослабить его воздействие. В исследование входит: IgE Кошка - эпителий (e1); IgE Лошадь - перхоть (eЗ); IgE Морская свинка - эпителий (e6); IgE Собака - перхоть (e5); IgE Хомяк - эпителий (e84); IgE Попугай волнистый - перья (е78); IgE Попугай - перья (e213).",5190,7
Комплексное,Животные дома: расширенный скрининг,Сыворотка,"Комплексный скрининг аллергенов животного происхождения поможет выявить источник опасности, убрать или, по возможности, ослабить его воздействие. В комплекс входит: клинический анализ крови + Лейкоцитарная формула + СОЭ; IgE: Кошка - эпителий (e1); IgE Лошадь - перхоть (eЗ); IgE Морская свинка - эпителий (e6); IgE Собака - перхоть (e5); IgE Хомяк - эпителий (e84); IgE Попугай волнистый - перья (е78); IgE Попугай - перья (e213); Toxoplasma gondii IgG (авидность); Анализ кала на простейшие и яйца гельминтов (микроскопия).",6190,7
Комплексное,Здоровая печень: биохимический скрининг,Сыворотка,Исследование позволяет выявить основные функциональные нарушения печени. В него входит: АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Билирубин прямой.,890,1
Комплексное,Здоровье женщины: гормональный скрининг,Сыворотка,"Программа скрининга поможет специалисту определить, на каком уровне регуляции произошёл сбой, и вовремя скорректировать гормональный фон, пока проблема не стала системной. Состав гормонального скрининга: ЛГ (лютеинезирующий гормон); ФСГ (фолликулостимулирующий гормон); Пролактин; Эстрадиол; Дигидротестостерон; Кортизол.",4490,7
Комплексное,Здоровье почек: биохимический скрининг,Сыворотка,"Биохимический анализ крови, при котором определяются уровни веществ, играющих ключевую роль в осуществлении нормальной функции почек - мочевина, креатинин, неорганический фосфор, альбумин, глюкоза, кальций.",1490,1
Комплексное,Здоровье почек: диагностика мочекаменной болезни,Суточная моча,"Биохимическое исследование крови и мочи (наиболее точно отражающие урологические проблемы) включает определение содержания креатинина, кальция, магния, неорганического фосфора, мочевой кислоты и т.д.",3190,4
Комплексное,Коагулограмма базовая,Плазма цитрат,"Комплекс включает необходимые параметры свертывания, позволяющие оценить состояние систем свертывания и противосвертывания крови: АЧТВ; Протромбиновое время + МНО; Тромбиновое время; Фибриноген; Антитромбин III.",1790,1
Комплексное,"Комплекс аллергенов растений, вызывающих поллиноз",Сыворотка,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к тополю, липе, ольхе, березе, полыни, дубу, клёну, амброзии, еже, пшенице, ржи, тимофеевке.",11990,4
Комплексное,Комплексный анализ крови на ненасыщенные жирные кислоты семейства Омега-3 и Омега-6,Кровь,"Определение концентрации ненасыщенных жирных кислот семейства омега-3 и омега-6, используемое для оценки их баланса в организме, а также диагностики и контроля лечения ишемической болезни сердца, инсульта и некоторых онкологических заболеваний.",8290,5
Комплексное,Комплексный анализ крови на ненасыщенные жирные кислоты семейства Омега-6,Кровь с EDTA,"Определение концентрации ненасыщенных жирных кислот семейства Омега-6, используемое для оценки их баланса в организме, а также диагностики и контроля лечения ишемической болезни сердца, инсульта и некоторых онкологических заболеваний.",6390,5
Комплексное,Липидный обмен,Сыворотка,"Липиды представляют собой жироподобные вещества и жиры, избыток которых приводит к болезням сердца, повышает риск атеросклероза. К липидам относятся триглицериды и холестерин. В комплекс включены исследования на: Триглицериды; холестерин общий; ХС ЛПВП; ХС ЛПНП; Индекс атерогенности",990,1
Комплексное,Мужской гормональный скрининг,Сыворотка,"Исследование гормонов у мужчин поможет выявить нарушения гормонального обмена на ранних стадиях, что существенно облегчит последующее лечение, избавит от развития целого ряда заболеваний. Состав гормонального скрининга: Тестостерон; Свободный тестостерон; Глобулин, связывающий половые гормоны (ГСПГ); Пролактин; ЛГ (лютеинезирующий гормон); ФСГ (фолликулостимулирующий гормон).",3790,1
Комплексное,Перед операцией (госпитализация в стационары хирургического профиля),"Кровь, Разовая порция мочи","Комплексное исследование, включающее в себя ряд анализов, результаты которых необходимы при госпитализации в стационар хирургического профиля. В комплекс входят: клинический анализ крови + Лейкоцитарная формула + СОЭ; Группа крови + Резус-фактор (Rh); Общий анализ мочи + Коагулограмма: АЧТВ; Протромбиновое время + МНО; Тромбиновое время; Фибриноген; Антитромбин III; Плазминоген + АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Холестерин общий (ХС); Креатинин; Мочевина; Общий белок; Глюкоза + Госпитальный комплекс - скрининг(ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА)).",2890,3
Комплексное,Подготовка к хирургическим операциям и установке имплантов (стоматология),"Сыворотка, Кровь","Предлагаемый комплекс объединяет группу исследований, которые, как правило, необходимо провести при подготовке к запланированному хирургическому вмешательству в стоматологии. В комплекс входит: Протромбиновое время + МНО; АЧТВ; Фибриноген + АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Глюкоза; Кальций ионизированный + Госпитальный комплекс; ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА).) +  клинический анализ крови + Лейкоцитарная формула + СОЭ.",3490,1
Комплексное,Поджелудочная железа: биохимический скрининг,Сыворотка,Исследование функции поджелудочной железы позволяет выявить основные функциональные нарушения в работе этого органа. (Альфа-амилаза; Амилаза панкреатическая; Липаза; Холестерин общий).,1190,1
Комплексное,Почечные маркеры: скрининг,Сыворотка,"Биохимическое исследование креатинина и мочевины, характеризующих состояние почек (почечные пробы), особо важно для людей, страдающих почечными заболеваниями: хроническим пиелонефритом, хроническим гломерулонефритом, хронической почечной недостаточностью, амилоидозом и кистами почек. (Креатинин; Мочевина; Общий анализ мочи).",890,1
Комплексное,Проверка здоровья сердца,Сыворотка,"В данный комплекс собраны исследования, с помощью которых можно проанализировать состояние миокарда, риск развития инфаркта, а также провести мониторинг эффективности принимаемого курса терапии. ( клинический анализ крови + Лейкоцитарная формула + СОЭ; Протеинограмма: общий белок; белковые фракции; АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Креатинкиназа - МВ (КК-МВ, Креатинфосфокиназа - миокардиальная фракция); Лактатдегидрогеназа (ЛДГ); Миоглобин; С-реактивный белок (ультрачувствительный); Калий; Натрий; Хлор).",3490,1
Комплексное,Риск развития аутоимунных заболеваний,Сыворотка,"Аутоиммунные заболевания полиэтиологичны и многофакторны, понимание механизмов их развития является одной из наиболее сложных и трудных задач. Комплексное исследование аутоиммунных антител поможет определить специфику развития заболевания, разобраться в ее этиологии, выработать направление и тактику лечения. (АТ к ядерным антигенам (ANA)(кач.), АТ к 2-спиральной ДНК (кач.), АТ к одноцепочечной ДНК, АТ к циклическому церуллинсодержащему пептиду (АЦЦП)).",5790,7
Комплексное,Риск развития диабета,Сыворотка,"При помощи данного исследования можно оценить нормальный уровень сахара в крови, здоровый обмен глюкозы; нарушение толерантности к глюкозе - состояние преддиабета, и, наконец, диагностировать диабет 1 или 2 типа. (Глюкоза; Гликозилированный гемоглобин; Инсулин; С-пептид).",1190,1
Комплексное,Синдром хронической усталости,Кровь,"Комплексное исследование для диагностики Синдрома утомляемости после перенесённой вирусной болезни. 
Включает в себя: Антитела к ядерному антигену вируса Эпштейна-Барр, IgG; антитела к раннему антигену вируса Эпштейна-Барр, IgG; антитела к капсидному антигену вируса Эпштейна-Барр, IgG; клинический анализ крови (общий анализ крови с лейкоцитарной формулой и СОЭ); С-реактивный белок.",7890,2
Биохимия,Альбумин,Сыворотка,"Альбумин сыворотки – это белок, составляющий до 60 % от общего количества белков плазмы крови. Основные его функции: поддержание онкотического давления крови, участие в метаболических процессах, транспорт различных биологически активных веществ, в том числе гормонов и витаминов.",249,1
Биохимия,Альфа-амилаза,Сыворотка,"Амилаза – один из нескольких ферментов, которые вырабатываются в поджелудочной железе и входят в состав панкреатического сока. Липаза расщепляет жиры, протеаза – белки, а амилаза расщепляет углеводы. Из поджелудочной железы панкреатический сок, содержащий амилазу, через панкреатический проток попадает в двенадцатиперстную кишку, где помогает переварить пищу.",390,1
Биохимия,Альфа1-антитрипсин,Сыворотка,"Альфа1-антитрипсин - это белок, выделяемый печенью и отвечающий за защиту легких и инактивацию некоторых ферментов в организме.",1149,3
Биохимия,Амилаза панкреатическая,Сыворотка,"Амилаза – пищеварительный фермент, который способен расщеплять углеводы. Амилаза панкреатическая – одна из разновидностей амилазы, которая вырабатывается поджелудочной железой.",490,4
Биохимия,Аполипопротеин B,Сыворотка,"Аполипопротеин B – белок плазмы крови, который входит в состав липопротеинов низкой плотности (ЛПНП). Увеличение его концентрации говорит о повышенном риске развития сердечно-сосудистых заболеваний.",690,3
Биохимия,Аполипопротеин А1,Сыворотка,"Аполипопротеин А1 – белок плазмы крови, который входит в состав липопротеинов высокой плотности (ЛПВП) и способствует удалению холестерола из стенок сосудов.",690,3
Биохимия,Аспартатаминотрансфераза (АСТ),Сыворотка,"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени.",290,1
Биохимия,Билирубин общий,Сыворотка,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков.",249,1
Биохимия,Билирубин прямой,Сыворотка,"Билирубин – оранжево-желтый пигмент, обнаруживаемый в желчи и придающий ей характерный цвет. Билирубин прямой- разновидность билирубина, которая может растворяться в воде и в норме выводится из организма преимущественно вместе с желчью.",290,1
Биохимия,Гамма-глутамилтрансфераза (ГГТ),Сыворотка,"Гамма-глютаматтранспептидаза (ГГТП) относится к ферментам печени, почек и поджелудочной железы. Уровень ГГТП является показателем того, что в печени происходят нежелательные изменения.",290,3
Биохимия,Гаптоглобин,Сыворотка,"Гаптоглобин – белок острой фазы, способный связывать гемоглобин и выполняющий ряд регуляторных функций. В организме человека он представлен тремя типами: Нр 1-1, Нр 2-1, Нр 2-2. Нр 1-1 является мономером, Нр 2-1, Нр 2-2 – полимеры. Гаптоглобин был открыт в 1938 году, его название образовано от слова hapto – ""связывать"". Он синтезируется в печени и постоянно присутствует в плазме крови.",990,3
Биохимия,Гликированный гемоглобин А1с %,Кровь с EDTA,"Специфическое соединение гемоглобина эритроцитов с глюкозой, концентрация которого отражает среднее содержание глюкозы в крови за период около трех месяцев.
Образуется гликированный гемоглобин посредством реакции неферментативного гликозилирования гемоглобина.",790,1
Биохимия,Глюкоза,Кровь с фторидом натрия,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня.",249,1
Биохимия,Гомоцистеин,Сыворотка,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза.",1890,1
Биохимия,Железо,Сыворотка,"Микроэлемент, входящий в состав гемоглобина, участвует в транспортировке и депонировании кислорода в ткани, а также в процессах тканевого дыхания. В организме железо не встречается в виде свободных катионов, только в связи с белками.",290,1
Биохимия,Индекс HOMA,Кровь,"Оценка инсулинорезистентности. Индекс HOMA рассчитывают по формуле: глюкоза натощак (ммоль/л) Х инсулин натощак (мкМЕ/мл) / 22,5.",990,1
Биохимия,Кальций ионизированный,Кровь с гепарином,"Жизненно необходимый минерал, поступающий в организм из продуктов питания. С его участием проходит минерализация зубов, формирование костей, поддерживается работа сердечно-сосудистой системы, а также других органов и систем.
Ионизированный кальций – катион, свободно циркулирующий в крови и составляющий 46-50 % от всего кальция крови.",549,1
Биохимия,Кальций общий,Сыворотка,"Кальций общий — это концентрация ионизированной (свободной) и связанной с белками формы кальция. Важнейший компонент костной ткани, выполняет основные структурные, метаболические и регуляторные функциями в организме.
Физиологически он активен только в ионизированном виде, в котором в большом количестве присутствует в плазме крови.",290,1
